id,lon,lat,geocode,avg_rad,bin_GMM,filename,City_Municipality,City_Municipality_PCODE,Province,Region,POCEN2010,POPCEN2015,POV_2009,POV_2012,POV_2015,Highly_Urbanized,Is.City
247,121.5774336,18.35189245,21505000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000247.jpg,Aparri,PH021505000,Cagayan,Region II,61199,65649,15.44,21.85,15.44,FALSE,FALSE
248,121.6122763,18.35189245,21505000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000248.jpg,Aparri,PH021505000,Cagayan,Region II,61199,65649,15.44,21.85,15.44,FALSE,FALSE
250,122.1000738,18.35189245,21514000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000250.jpg,Gonzaga,PH021514000,Cagayan,Region II,36303,38892,16.61,13.37,13.1,FALSE,FALSE
251,122.1349165,18.35189245,21514000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000251.jpg,Gonzaga,PH021514000,Cagayan,Region II,36303,38892,16.61,13.37,13.1,FALSE,FALSE
252,122.1697592,18.35189245,21523000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000252.jpg,Santa Ana,PH021523000,Cagayan,Region II,30458,32906,16.33,20.62,12.54,FALSE,FALSE
253,122.2046019,18.35189245,21523000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000253.jpg,Santa Ana,PH021523000,Cagayan,Region II,30458,32906,16.33,20.62,12.54,FALSE,FALSE
255,122.2742872,18.35189245,21523000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000255.jpg,Santa Ana,PH021523000,Cagayan,Region II,30458,32906,16.33,20.62,12.54,FALSE,FALSE
257,120.6018386,18.31704977,12817000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000257.jpg,Pasuquin,PH012817000,Ilocos Norte,Region I,27952,28980,14.09,10.44,10.62,FALSE,FALSE
261,120.7412093,18.31704977,12823000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000261.jpg,Vintar,PH012823000,Ilocos Norte,Region I,31448,32220,16.79,15.3,8.5,FALSE,FALSE
262,120.776052,18.31704977,12823000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000262.jpg,Vintar,PH012823000,Ilocos Norte,Region I,31448,32220,16.79,15.3,8.5,FALSE,FALSE
263,120.8108947,18.31704977,12823000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000263.jpg,Vintar,PH012823000,Ilocos Norte,Region I,31448,32220,16.79,15.3,8.5,FALSE,FALSE
264,120.8457374,18.31704977,12823000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000264.jpg,Vintar,PH012823000,Ilocos Norte,Region I,31448,32220,16.79,15.3,8.5,FALSE,FALSE
265,120.88058,18.31704977,12823000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000265.jpg,Vintar,PH012823000,Ilocos Norte,Region I,31448,32220,16.79,15.3,8.5,FALSE,FALSE
266,120.9154227,18.31704977,12823000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000266.jpg,Vintar,PH012823000,Ilocos Norte,Region I,31448,32220,16.79,15.3,8.5,FALSE,FALSE
267,120.9502654,18.31704977,148101000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000267.jpg,Calanasan,PH148101000,Apayao,Cordillera Administrative Region,11568,12604,32.86,62.58,27.08,FALSE,FALSE
268,120.9851081,18.31704977,148101000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000268.jpg,Calanasan,PH148101000,Apayao,Cordillera Administrative Region,11568,12604,32.86,62.58,27.08,FALSE,FALSE
269,121.0199508,18.31704977,148101000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000269.jpg,Calanasan,PH148101000,Apayao,Cordillera Administrative Region,11568,12604,32.86,62.58,27.08,FALSE,FALSE
271,121.0896361,18.31704977,148101000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000271.jpg,Calanasan,PH148101000,Apayao,Cordillera Administrative Region,11568,12604,32.86,62.58,27.08,FALSE,FALSE
272,121.1244788,18.31704977,148101000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000272.jpg,Calanasan,PH148101000,Apayao,Cordillera Administrative Region,11568,12604,32.86,62.58,27.08,FALSE,FALSE
273,121.1593215,18.31704977,148101000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000273.jpg,Calanasan,PH148101000,Apayao,Cordillera Administrative Region,11568,12604,32.86,62.58,27.08,FALSE,FALSE
274,121.1941642,18.31704977,148101000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000274.jpg,Calanasan,PH148101000,Apayao,Cordillera Administrative Region,11568,12604,32.86,62.58,27.08,FALSE,FALSE
275,121.2290068,18.31704977,148105000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000275.jpg,Luna,PH148105000,Apayao,Cordillera Administrative Region,18029,19063,28.76,33.42,17.38,FALSE,FALSE
276,121.2638495,18.31704977,148105000,0,1,CNN_DIMG_PHI_2015_ST_384_3840_000276.jpg,Luna,PH148105000,Apayao,Cordillera Administrative Region,18029,19063,28.76,33.42,17.38,FALSE,FALSE
